COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,MARKER_HARDWARE,SYNC,TIME_STAMP_s,TIME_STAMP_ms,TimeStamp,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
24.000000, 0.000000, 4192.307617, 4180.512695, 4168.717773, 4176.410156, 4183.589844, 4196.410156, 4195.897461, 4194.871582, 4205.127930, 4179.487305, 4176.922852, 4174.358887, 4216.410156, 4193.846191, 0.000000, 8232.000000, 8178.000000, 1.000000, 43.000000, 0.000000, 0.000000, 0.000000, 1553918433.229476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
25.000000, 0.000000, 4184.102539, 4173.846191, 4162.563965, 4163.589844, 4168.205078, 4198.461426, 4182.563965, 4188.717773, 4195.897461, 4174.358887, 4160.512695, 4167.692383, 4207.692383, 4185.127930, 0.000000, 8231.000000, 8173.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 1553918433.237476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
26.000000, 0.000000, 4196.922852, 4190.769043, 4169.743652, 4182.563965, 4181.025391, 4184.615234, 4197.436035, 4208.205078, 4209.230469, 4188.717773, 4180.000000, 4173.333008, 4210.256348, 4200.000000, 0.000000, 8231.000000, 8173.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.700012, 1553918433.245176, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
27.000000, 0.000000, 4190.256348, 4178.461426, 4171.281738, 4180.512695, 4172.820313, 4200.000000, 4193.333008, 4206.666504, 4208.205078, 4180.512695, 4179.487305, 4178.974121, 4201.538574, 4194.358887, 0.000000, 8231.000000, 8167.000000, 0.000000, 0.000000, 0.000000, 0.000000, 23.700012, 1553918433.253176, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
28.000000, 0.000000, 4195.384277, 4184.615234, 4171.794922, 4180.512695, 4176.922852, 4193.333008, 4197.948730, 4210.256348, 4207.692383, 4184.615234, 4184.102539, 4176.410156, 4214.358887, 4197.948730, 0.000000, 8231.000000, 8167.000000, 0.000000, 0.000000, 0.000000, 0.000000, 31.500000, 1553918433.260976, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
29.000000, 0.000000, 4198.974121, 4187.179199, 4177.436035, 4186.153809, 4178.461426, 4195.897461, 4203.076660, 4216.410156, 4207.692383, 4196.922852, 4187.179199, 4178.974121, 4221.025391, 4199.487305, 0.000000, 8223.000000, 8169.000000, 0.000000, 0.000000, 0.000000, 0.000000, 39.500000, 1553918433.268976, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
30.000000, 0.000000, 4185.641113, 4167.692383, 4167.179199, 4176.922852, 4164.615234, 4195.897461, 4196.410156, 4203.076660, 4200.000000, 4183.589844, 4164.615234, 4169.230469, 4201.538574, 4184.102539, 0.000000, 8223.000000, 8169.000000, 0.000000, 0.000000, 0.000000, 0.000000, 47.300049, 1553918433.276776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
31.000000, 0.000000, 4191.281738, 4183.076660, 4163.589844, 4180.000000, 4180.512695, 4179.487305, 4201.538574, 4205.127930, 4202.563965, 4178.974121, 4164.102539, 4165.127930, 4200.512695, 4191.794922, 0.000000, 8224.000000, 8180.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55.200012, 1553918433.284676, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
32.000000, 0.000000, 4176.922852, 4173.846191, 4160.000000, 4168.717773, 4178.461426, 4197.436035, 4185.641113, 4188.717773, 4187.179199, 4162.051270, 4156.410156, 4161.025391, 4183.589844, 4183.076660, 0.000000, 8224.000000, 8180.000000, 0.000000, 0.000000, 0.000000, 0.000000, 63.000000, 1553918433.292476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
33.000000, 0.000000, 4173.846191, 4166.666504, 4156.922852, 4170.256348, 4180.512695, 4191.794922, 4190.256348, 4184.102539, 4187.692383, 4160.000000, 4153.333008, 4153.846191, 4189.743652, 4176.922852, 0.000000, 8225.000000, 8171.000000, 0.000000, 0.000000, 0.000000, 0.000000, 71.000000, 1553918433.300476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
